unique_id,ds,y,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
electricity_consumption,2020-04-02,6462.416666666667,6114.083333333333,1403.0416666666667,454.0416666666667,1761.875,1158.7916666666667,1058.9166666666667,223.91666666666666,52.708333333333336
electricity_consumption,2020-04-03,6289.458333333333,5804.958333333333,1414.4166666666667,686.2916666666666,1558.75,846.3333333333334,983.5416666666666,264.5416666666667,49.875
electricity_consumption,2020-04-04,5934.5,5365.625,1425.1666666666667,318.375,1794.625,814.9583333333334,778.25,181.29166666666666,51.083333333333336
electricity_consumption,2020-04-05,5501.208333333333,6042.708333333333,1425.7083333333333,1997.4166666666667,1070.0,747.3333333333334,543.1666666666666,203.95833333333334,54.0
electricity_consumption,2020-04-06,6096.25,6828.208333333333,1407.0416666666667,2278.5416666666665,1456.2916666666667,746.3333333333334,612.4166666666666,277.2083333333333,48.875
electricity_consumption,2020-04-07,6127.041666666667,6003.375,1407.0,870.125,1671.0,969.2916666666666,753.4583333333334,277.7916666666667,54.041666666666664
electricity_consumption,2020-04-08,6089.75,5442.75,1414.875,346.0416666666667,1676.25,995.8333333333334,684.5833333333334,273.8333333333333,50.75
electricity_consumption,2020-04-09,6012.25,5238.958333333333,1415.4583333333333,334.7083333333333,1585.625,936.7916666666666,650.1666666666666,264.25,51.166666666666664
electricity_consumption,2020-04-10,5871.208333333333,5218.666666666667,1424.2083333333333,730.0833333333334,1619.1666666666667,659.5833333333334,487.6666666666667,245.79166666666666,51.416666666666664
electricity_consumption,2020-04-11,5614.166666666667,5138.083333333333,1425.25,655.1666666666666,1586.7083333333333,661.1666666666666,501.4583333333333,257.4583333333333,49.708333333333336
electricity_consumption,2020-04-12,5129.708333333333,4842.416666666667,1425.0833333333333,637.875,1359.7916666666667,642.125,473.2083333333333,253.45833333333334,49.916666666666664
electricity_consumption,2020-04-13,5763.875,5625.541666666667,1403.6666666666667,1869.9166666666667,1016.4583333333334,610.625,452.75,222.5,48.833333333333336
electricity_consumption,2020-04-14,6018.916666666667,5818.375,1418.125,1346.375,1673.4166666666667,629.125,592.5416666666666,109.54166666666667,48.833333333333336
electricity_consumption,2020-04-15,6069.25,6074.75,1412.5416666666667,1047.4583333333333,1661.75,872.125,783.3333333333334,246.54166666666666,49.708333333333336
electricity_consumption,2020-04-16,5855.416666666667,5921.708333333333,1404.875,1005.125,1654.7916666666667,881.375,649.2916666666666,279.25,45.583333333333336
electricity_consumption,2020-04-17,5308.541666666667,5410.083333333333,1412.4166666666667,574.3333333333334,1738.75,801.9166666666666,596.3333333333334,241.83333333333334,43.416666666666664
electricity_consumption,2020-04-18,5305.083333333333,5336.833333333333,1421.3333333333333,722.8333333333334,1697.7916666666667,581.8333333333334,630.875,239.04166666666666,41.583333333333336
electricity_consumption,2020-04-19,4540.333333333333,4715.416666666667,1420.875,345.4583333333333,1477.0833333333333,574.9166666666666,691.5416666666666,167.20833333333334,37.458333333333336
